Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Houston Rockets,65-17,34-7,31-Oct,24-Jun,41-11,6-Apr,9-Jan,9-Jan,16-Feb,13-May,12-Apr,44-13,21-Apr,5-Mar,38-8,5-Mar,12-Jan,9-May,10-Apr,12-0,14-Jan,3-Mar
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-Nov,12-Apr,14-Apr,14-Apr,5-May,6-Apr,8-Feb,41-16,18-Jul,5-Jul,33-5,4-Feb,9-May,11-Mar,10-May,9-Feb,12-Apr,4-Feb
3,Golden State Warriors,58-24,29-Dec,29-Dec,24-Jun,34-18,9-Jan,6-Apr,9-Jan,8-Oct,13-Mar,13-May,44-14,14-Oct,5-Jan,38-13,5-Mar,11-Mar,13-Feb,11-Mar,8-Mar,7-Jul,3-Mar
4,Boston Celtics,55-27,27-14,28-13,33-19,22-Aug,12-Apr,10-Aug,11-Jul,9-Jan,7-Mar,6-Apr,40-19,15-Aug,11-Aug,25-Sep,5-Feb,14-Feb,11-Jun,7-May,7-Apr,9-Apr,2-Apr
5,Philadelphia 76ers,52-30,30-Nov,22-19,34-18,18-Dec,9-Jul,11-Jul,14-Apr,7-Mar,4-Jun,7-Mar,30-25,22-May,4-Jul,31-11,3-Apr,9-May,5-Oct,7-May,8-Mar,13-Mar,7-0
6,Cleveland Cavaliers,50-32,29-Dec,21-20,35-17,15-15,11-Jul,11-May,13-May,5-May,5-May,5-May,34-22,16-Oct,8-May,17-20,3-Apr,12-Mar,9-May,6-Aug,6-Apr,10-Jun,4-Feb
7,Portland Trail Blazers,49-33,28-13,21-20,18-Dec,31-21,4-Jun,6-Apr,8-Feb,9-Jul,15-Mar,7-Nov,32-26,17-Jul,8-Aug,20-Dec,4-Mar,9-Jun,5-Aug,11-May,6-Apr,12-Mar,2-Apr
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,11-Jul,10-Jun,11-Jul,3-Jul,9-Jan,4-Jun,33-25,15-Sep,11-Feb,20-16,4-Mar,8-Jul,7-Aug,10-May,5-Apr,11-Apr,3-Mar
9,New Orleans Pelicans,48-34,24-17,24-17,21-Sep,27-25,6-Apr,9-Jan,6-Apr,6-Dec,12-Jun,9-Jul,31-26,17-Aug,7-Mar,19-16,3-Apr,8-Jun,7-Aug,9-May,8-Mar,8-Jul,5-Jan
10,Oklahoma City Thunder,48-34,27-14,21-20,20-Oct,28-24,6-Apr,7-Mar,7-Mar,5-Nov,12-Jun,11-Jul,33-26,15-Aug,8-Oct,24-Nov,4-Mar,4-Sep,12-May,10-Apr,6-Jun,8-Jun,4-Jan
11,Utah Jazz,48-34,28-13,20-21,14-16,34-18,3-Jul,6-Apr,5-May,7-Sep,15-Mar,12-Jun,30-28,18-Jun,4-May,31-19,4-Mar,7-Aug,5-Oct,6-Jul,9-Feb,12-Mar,5-Jan
12,Minnesota Timberwolves,47-35,30-Nov,17-24,13-17,34-18,4-Jun,4-Jun,5-May,10-Jun,14-Apr,10-Aug,36-25,11-Oct,7-Jul,25-Dec,4-Mar,9-Jun,10-May,9-Aug,6-Apr,6-Jul,3-Feb
13,San Antonio Spurs,47-35,33-8,14-27,18-Dec,29-23,6-Apr,5-May,7-Mar,9-Sep,11-Jul,9-Jul,35-24,12-Nov,8-Oct,25-17,4-Mar,10-Apr,11-May,9-Jul,2-Jul,8-Jun,3-Mar
14,Denver Nuggets,46-36,31-Oct,15-26,18-Dec,28-24,4-Jun,8-Feb,6-Apr,9-Jul,10-Aug,9-Sep,32-26,14-Oct,10-May,21-15,3-Apr,9-May,7-Aug,7-Aug,7-Mar,8-Jul,5-Jan
15,Miami Heat,44-38,26-15,18-23,31-21,13-17,9-Sep,11-Jul,11-May,4-Jun,5-May,4-Jun,30-28,14-Oct,9-Sep,16-13,2-Apr,8-Jul,9-Jun,10-May,3-Jul,9-Jul,3-Feb
16,Milwaukee Bucks,44-38,25-16,19-22,27-25,17-13,11-Jul,6-Oct,10-Aug,5-May,7-Mar,5-May,32-25,Dec-13,7-Apr,14-16,4-Mar,7-Jun,8-Jun,8-Jul,6-Jun,8-Jul,3-Mar
17,Washington Wizards,43-39,23-18,20-21,28-24,15-15,10-Aug,10-Aug,8-Aug,4-Jun,5-May,6-Apr,33-24,Oct-15,5-Jul,22-Dec,4-Feb,7-Aug,10-Jun,7-Jun,8-Apr,6-Aug,1-May
18,Los Angeles Clippers,42-40,22-19,20-21,18-Dec,24-28,6-Apr,6-Apr,6-Apr,Apr-14,12-Apr,8-Oct,30-26,Dec-14,8-Feb,22-19,4-Feb,4-Oct,8-Jul,9-Jun,7-Mar,9-Jul,1-May
19,Detroit Pistons,39-43,25-16,14-27,24-28,15-15,7-Nov,9-Jul,8-Oct,4-Jun,7-Mar,4-Jun,28-29,Nov-14,4-Jul,19-23,5-Mar,9-Mar,6-Sep,3-Nov,6-Jun,7-Aug,3-Mar
20,Charlotte Hornets,36-46,21-20,15-26,22-30,14-16,Apr-14,7-Nov,11-May,4-Jun,7-Mar,3-Jul,24-33,Dec-13,1-May,23-23,4-Mar,4-Sep,5-Nov,8-Jun,7-May,6-Sep,2-Mar
21,Los Angeles Lakers,35-47,20-21,15-26,16-14,19-33,5-May,5-May,6-Apr,Apr-14,6-Oct,9-Sep,23-34,Dec-13,6-Jul,18-21,3-Apr,5-Sep,3-Nov,8-Jul,7-Mar,7-Aug,2-May
22,New York Knicks,29-53,19-22,Oct-31,17-35,Dec-18,6-Oct,Apr-14,7-Nov,4-Jun,5-May,3-Jul,23-36,Jun-17,2-Jul,15-30,3-Mar,8-Jul,7-Aug,5-Nov,1-Sep,3-Dec,2-Mar
23,Brooklyn Nets,28-54,15-26,13-28,19-33,Sep-21,Jan-15,6-Dec,12-Jun,4-Jun,1-Sep,4-Jun,19-40,Sep-14,5-Jul,Sep-27,3-May,5-Aug,5-Oct,6-Oct,1-Sep,5-Sep,3-Mar
24,Chicago Bulls,27-55,17-24,Oct-31,21-31,Jun-24,May-13,4-Dec,12-Jun,2-Aug,0-10,4-Jun,20-37,Jul-18,9-May,Jun-30,1-Apr,Feb-13,10-Jun,5-Oct,2-Aug,5-Oct,2-Apr
25,Sacramento Kings,27-55,14-27,13-28,13-17,14-38,5-May,3-Jul,5-May,Mar-15,5-Nov,6-Dec,18-39,Sep-16,6-May,May-32,1-Jun,5-Sep,6-Sep,4-Oct,2-Sep,6-Oct,3-Feb
26,Orlando Magic,25-57,17-24,Aug-33,15-37,Oct-20,May-13,May-13,5-Nov,2-Aug,3-Jul,5-May,18-39,Jul-18,3-May,Oct-27,5-Feb,4-Nov,3-Dec,3-Oct,3-Aug,4-Oct,3-Apr
27,Atlanta Hawks,24-58,16-25,Aug-33,Dec-40,Dec-18,Apr-14,Mar-15,5-Nov,5-May,2-Aug,5-May,18-41,Jun-17,6-Aug,Aug-35,1-Jun,3-Nov,6-Sep,5-Oct,4-Jul,2-Dec,3-Mar
28,Dallas Mavericks,24-58,15-26,Sep-32,Oct-20,14-38,2-Aug,4-Jun,4-Jun,May-13,Apr-14,5-Nov,18-40,Jun-18,2-Sep,Nov-20,1-Jul,4-Oct,8-Aug,3-Nov,3-Jul,4-Oct,1-May
29,Memphis Grizzlies,22-60,16-25,Jun-35,Apr-26,18-34,2-Aug,1-Sep,1-Sep,May-13,8-Oct,5-Nov,18-38,Apr-22,5-Dec,Aug-26,5-Feb,2-Nov,5-Dec,6-Jul,0-10,Mar-13,1-May
30,Phoenix Suns,21-61,Oct-31,Nov-30,Jun-24,15-37,2-Aug,2-Aug,2-Aug,May-13,4-Dec,6-Dec,18-41,Mar-20,6-May,May-40,3-Apr,5-Nov,6-Sep,4-Oct,1-Oct,0-14,2-Mar
,,,,,,,,,,,,,,,,,,,,,,,